symbol,system,entry_time_pkt,exit_time_pkt,entry_price,exit_price,exit_reason,capital_allocated_usd,gross_return_pct,net_return_pct,realized_pnl_usd,result
INJ/USDT,Pullback-in-Uptrend,2026-09-25 12:00 AM PKT,2026-09-25 12:00 PM PKT,8.261,7.87553125,SL,100.0,-4.666,-4.866,-4.8661,LOSS
LTC/USDT,Pullback-in-Uptrend,2026-09-25 12:00 PM PKT,2026-09-25 06:00 PM PKT,71.56,69.324375,SL,100.0,-3.124,-3.324,-3.3241,LOSS
XRP/USDT,NEW AdvancedConfluence,2026-09-25 06:00 PM PKT,2026-09-25 07:00 PM PKT,1.58312,1.56456,SL,100.0,-1.172,-1.372,-1.3724,LOSS
HYPE/USDT,Pullback-in-Uptrend,2026-09-25 12:00 AM PKT,2026-09-25 08:00 PM PKT,94.535,91.00803125,SL,100.0,-3.731,-3.931,-3.9309,LOSS
