CE Buy-Only Diagnostic - 150 coins, pichle 720 bars (~30 din)

======================================================================

Total RAW cross events (pichle 720 bars, sab 150 coins mila ke): 954
Total POST-COOLDOWN signals: 731
Kitne coins par kam-az-kam 1 raw event hua: 139/150
Kitne coins par ABHI (is waqt) ek OPEN trade hai (jo dashboard dikhata): 1/150

Sab se RECENT signal (kisi bhi coin par): YOM/USDT, 0 bars (0.0 din) pehle -> OPEN

======================================================================
Har coin ki detail:

MHA/USDT: SKIPPED (not enough data, len=99)
ADI/USDT: raw=12, post-cooldown=7, aakhri signal 54 bars (2.2 din) pehle -> CLOSED (STOPPED, exit 53 bars pehle)
USELESS/USDT: raw=4, post-cooldown=4, aakhri signal 14 bars (0.6 din) pehle -> CLOSED (STOPPED, exit 13 bars pehle)
GRAM/USDT: raw=1, post-cooldown=1, aakhri signal 623 bars (26.0 din) pehle -> CLOSED (STOPPED, exit 622 bars pehle)
STRK/USDT: raw=4, post-cooldown=4, aakhri signal 149 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 148 bars pehle)
DASH/USDT: raw=6, post-cooldown=3, aakhri signal 151 bars (6.3 din) pehle -> CLOSED (STOPPED, exit 150 bars pehle)
BB/USDT: raw=1, post-cooldown=1, aakhri signal 234 bars (9.8 din) pehle -> CLOSED (STOPPED, exit 233 bars pehle)
LSK/USDT: raw=16, post-cooldown=12, aakhri signal 23 bars (1.0 din) pehle -> CLOSED (STOPPED, exit 22 bars pehle)
TA/USDT: SKIPPED (not enough data, len=125)
TEA/USDT: raw=12, post-cooldown=8, aakhri signal 113 bars (4.7 din) pehle -> CLOSED (STOPPED, exit 112 bars pehle)
WLD/USDT: raw=4, post-cooldown=4, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
NIULAI/USDT: raw=1, post-cooldown=1, aakhri signal 277 bars (11.5 din) pehle -> CLOSED (STOPPED, exit 276 bars pehle)
MARSCOIN/USDT: raw=2, post-cooldown=2, aakhri signal 190 bars (7.9 din) pehle -> CLOSED (STOPPED, exit 189 bars pehle)
GRASS/USDT: raw=7, post-cooldown=5, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
TINA/USDT: SKIPPED (not enough data, len=101)
ON/USDT: SKIPPED (not enough data, len=101)
RENDER/USDT: raw=0, post-cooldown=0, aakhri signal 888 bars (37.0 din) pehle -> CLOSED (STOPPED, exit 887 bars pehle)
S/USDT: raw=7, post-cooldown=4, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
ANTFUN/USDT: raw=6, post-cooldown=6, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
ICP/USDT: raw=5, post-cooldown=5, aakhri signal 146 bars (6.1 din) pehle -> CLOSED (STOPPED, exit 145 bars pehle)
KAS/USDT: raw=1, post-cooldown=1, aakhri signal 648 bars (27.0 din) pehle -> CLOSED (STOPPED, exit 647 bars pehle)
BCH/USDT: raw=6, post-cooldown=5, aakhri signal 54 bars (2.2 din) pehle -> CLOSED (STOPPED, exit 53 bars pehle)
ILY/USDT: raw=2, post-cooldown=2, aakhri signal 256 bars (10.7 din) pehle -> CLOSED (STOPPED, exit 255 bars pehle)
PAXG/USDT: raw=8, post-cooldown=7, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
FIL/USDT: raw=5, post-cooldown=4, aakhri signal 32 bars (1.3 din) pehle -> CLOSED (STOPPED, exit 31 bars pehle)
BDX/USDT: raw=3, post-cooldown=3, aakhri signal 295 bars (12.3 din) pehle -> CLOSED (STOPPED, exit 294 bars pehle)
UAI/USDT: raw=7, post-cooldown=7, aakhri signal 123 bars (5.1 din) pehle -> CLOSED (STOPPED, exit 122 bars pehle)
AR/USDT: raw=5, post-cooldown=4, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
CASHCAT/USDT: raw=2, post-cooldown=1, aakhri signal 34 bars (1.4 din) pehle -> CLOSED (STOPPED, exit 33 bars pehle)
POL/USDT: raw=8, post-cooldown=4, aakhri signal 131 bars (5.5 din) pehle -> CLOSED (STOPPED, exit 130 bars pehle)
XDC/USDT: raw=13, post-cooldown=9, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
DEBIT/USDT: raw=1, post-cooldown=1, aakhri signal 252 bars (10.5 din) pehle -> CLOSED (STOPPED, exit 244 bars pehle)
FTT/USDT: raw=14, post-cooldown=10, aakhri signal 21 bars (0.9 din) pehle -> CLOSED (STOPPED, exit 20 bars pehle)
ALGO/USDT: raw=4, post-cooldown=3, aakhri signal 136 bars (5.7 din) pehle -> CLOSED (STOPPED, exit 135 bars pehle)
ZRO/USDT: raw=4, post-cooldown=4, aakhri signal 146 bars (6.1 din) pehle -> CLOSED (STOPPED, exit 145 bars pehle)
SWARM/USDT: raw=16, post-cooldown=12, aakhri signal 9 bars (0.4 din) pehle -> CLOSED (STOPPED, exit 8 bars pehle)
SPX/USDT: raw=8, post-cooldown=7, aakhri signal 26 bars (1.1 din) pehle -> CLOSED (STOPPED, exit 25 bars pehle)
XAUT/USDT: raw=9, post-cooldown=8, aakhri signal 34 bars (1.4 din) pehle -> CLOSED (STOPPED, exit 33 bars pehle)
FLOCK/USDT: raw=19, post-cooldown=13, aakhri signal 27 bars (1.1 din) pehle -> CLOSED (STOPPED, exit 26 bars pehle)
ZEN/USDT: raw=5, post-cooldown=4, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
FARTCOIN/USDT: raw=4, post-cooldown=4, aakhri signal 151 bars (6.3 din) pehle -> CLOSED (STOPPED, exit 150 bars pehle)
BR/USDT: raw=8, post-cooldown=6, aakhri signal 139 bars (5.8 din) pehle -> CLOSED (STOPPED, exit 138 bars pehle)
YOM/USDT: raw=22, post-cooldown=16, aakhri signal 0 bars (0.0 din) pehle -> OPEN
